"","metric","year","value.x","country.x","SAP.x","value.y","country.y","SAP.y"
"1","Access to clean fuels and technologies for cooking (% of population)",2000,37.27,"Angola","Has not received IMF money",32.51,"Namibia","Angola has not received IMF money"
"2","Access to clean fuels and technologies for cooking (% of population)",2001,37.96,"Angola","Has not received IMF money",33.22,"Namibia","Angola has not received IMF money"
"3","Access to clean fuels and technologies for cooking (% of population)",2002,38.49,"Angola","Has not received IMF money",33.76,"Namibia","Angola has not received IMF money"
"4","Access to clean fuels and technologies for cooking (% of population)",2003,39.24,"Angola","Has not received IMF money",34.64,"Namibia","Angola has not received IMF money"
"5","Access to clean fuels and technologies for cooking (% of population)",2004,39.94,"Angola","Has not received IMF money",35.13,"Namibia","Angola has not received IMF money"
"6","Access to clean fuels and technologies for cooking (% of population)",2005,40.75,"Angola","Has not received IMF money",35.87,"Namibia","Angola has not received IMF money"
"7","Access to clean fuels and technologies for cooking (% of population)",2006,41.39,"Angola","Has not received IMF money",36.52,"Namibia","Angola has not received IMF money"
"8","Access to clean fuels and technologies for cooking (% of population)",2007,41.91,"Angola","Has not received IMF money",37.31,"Namibia","Angola has not received IMF money"
"9","Access to clean fuels and technologies for cooking (% of population)",2008,42.58,"Angola","Has not received IMF money",37.72,"Namibia","Angola has not received IMF money"
"10","Access to clean fuels and technologies for cooking (% of population)",2009,43.32,"Angola","Has received IMF money",38.34,"Namibia","Angola has received IMF money"
"11","Access to clean fuels and technologies for cooking (% of population)",2010,44.1,"Angola","Has received IMF money",38.88,"Namibia","Angola has received IMF money"
"12","Access to clean fuels and technologies for cooking (% of population)",2011,44.8,"Angola","Has received IMF money",39.59,"Namibia","Angola has received IMF money"
"13","Access to clean fuels and technologies for cooking (% of population)",2012,45.36,"Angola","Has received IMF money",40.11,"Namibia","Angola has received IMF money"
"14","Access to clean fuels and technologies for cooking (% of population)",2013,46.15,"Angola","Has received IMF money",40.53,"Namibia","Angola has received IMF money"
"15","Access to clean fuels and technologies for cooking (% of population)",2014,46.67,"Angola","Has received IMF money",41.25,"Namibia","Angola has received IMF money"
"16","Access to clean fuels and technologies for cooking (% of population)",2015,47.36,"Angola","Has received IMF money",41.32,"Namibia","Angola has received IMF money"
"17","Adjusted net national income (constant 2010 US$)",2000,326333458.867512,"Angola","Has not received IMF money",6482903584.84849,"Namibia","Angola has not received IMF money"
"18","Adjusted net national income (constant 2010 US$)",2001,7872784630.65852,"Angola","Has not received IMF money",6604815218.47723,"Namibia","Angola has not received IMF money"
"19","Adjusted net national income (constant 2010 US$)",2002,17373255769.6385,"Angola","Has not received IMF money",7046946248.80008,"Namibia","Angola has not received IMF money"
"20","Adjusted net national income (constant 2010 US$)",2003,19686067313.103,"Angola","Has not received IMF money",7219597820.78963,"Namibia","Angola has not received IMF money"
"21","Adjusted net national income (constant 2010 US$)",2004,18451675526.2051,"Angola","Has not received IMF money",7718295210.81156,"Namibia","Angola has not received IMF money"
"22","Adjusted net national income (constant 2010 US$)",2005,19403250575.0566,"Angola","Has not received IMF money",7703138168.49196,"Namibia","Angola has not received IMF money"
